Station,Entries,Latitude,Longitude,Year
Greensborough,728850,-37.70395408,145.1082474,2018
Coburg,728500,-37.74234502,144.9633363,2018
Bentleigh,727900,-37.91742457,145.0369951,2018
Surrey Hills,725200,-37.82414805,145.0987747,2018
Mooroolbark,722150,-37.78474883,145.3124024,2018
Moorabbin,717700,-37.93435329,145.0367383,2018
Watsonia,715500,-37.71095798,145.0837934,2018
Hawthorn,709100,-37.82182601,145.0228987,2018
Lilydale,701900,-37.75551777,145.3477102,2018
Albion,686100,-37.77765281,144.8247036,2018
Middle Brighton,682450,-37.91513441,144.9962991,2018
Boronia,677500,-37.8604518,145.2843851,2018
East Richmond,666900,-37.82639995,144.9970657,2018
North Brighton,665650,-37.90488721,145.002605,2018
Narre Warren,658700,-38.02780932,145.3039694,2018
Pascoe Vale,657950,-37.73075596,144.9281956,2018
Ripponlea,656550,-37.87590643,144.9952366,2018
Rosanna,627150,-37.7428786,145.0661403,2018
Fairfield,616150,-37.77917126,145.0169053,2018
Tottenham,613100,-37.7992509,144.8629449,2018
Heatherdale,605900,-37.81889537,145.2127872,2018
Lalor,605050,-37.66585075,145.0171932,2018
Macleod,598600,-37.7260123,145.0691433,2018
Ascot Vale,594300,-37.77530609,144.9218207,2018
Thornbury,592300,-37.75505179,144.9985715,2018
Eltham,588850,-37.71354967,145.147822,2018
Armadale,582450,-37.85645238,145.0193255,2018
Tooronga,580300,-37.84936553,145.0417337,2018
Hampton,577200,-37.93797681,145.0014706,2018
Roxburgh Park,575000,-37.63823121,144.9354037,2018
Collingwood,564450,-37.80452593,144.9937497,2018
Mernda,562350,-37.602549,145.100883,2018
Southland,557650,-37.958758,145.049124,2018
Oak Park,555500,-37.71794973,144.9215188,2018
Bayswater,538050,-37.84173004,145.2681364,2018
Sandown Park,537400,-37.95650457,145.1628259,2018
Kensington,533050,-37.79378022,144.9305244,2018
Holmesglen,531300,-37.87440222,145.090662,2018
Bell,530900,-37.74556212,145.000155,2018
Hallam,522450,-38.01774038,145.2697768,2018
Gardenvale,518050,-37.89669508,145.0041684,2018
Toorak,514950,-37.85077381,145.0139086,2018
West Richmond,510950,-37.81494896,144.9914228,2018
Highett,508400,-37.948425,145.0418718,2018
Hawksburn,507600,-37.84459087,145.0021421,2018
Jordanville,498850,-37.87360339,145.1120902,2018
Ferntree Gully,491150,-37.88169799,145.2952513,2018
Gardiner,491000,-37.85327908,145.0516547,2018
Regent,490050,-37.72840277,145.0027726,2018
Pakenham,489250,-38.08061397,145.4863791,2018
Chelsea,488600,-38.05195538,145.1160413,2018
East Malvern,481150,-37.87693002,145.069393,2018
Anstey,468600,-37.76124203,144.960684,2018
Seddon,467700,-37.80900514,144.8956716,2018
Ringwood East,460250,-37.81196804,145.2501909,2018
Mckinnon,450450,-37.91030903,145.038299,2018
Brighton Beach,447600,-37.92648432,144.9891536,2018
Hughesdale,443900,-37.89488129,145.0776351,2018
Carrum,430400,-38.07489292,145.1224183,2018
Parkdale,429250,-37.99307882,145.0763268,2018
Jewell,422900,-37.77498702,144.9587169,2018
Laburnum,414700,-37.82078023,145.1407027,2018
South Kensington,412850,-37.79953087,144.925469,2018
Ruthven,409500,-37.70789754,145.0095166,2018
Northcote,400750,-37.76986537,144.9952772,2018
Keon Park,396950,-37.69487012,145.0118838,2018
Brunswick,395250,-37.76772055,144.9595865,2018
Merlynston,392850,-37.72093389,144.9613135,2018
Lynbrook,390350,-38.05734118,145.2492751,2018
Strathmore,389900,-37.74359132,144.9273157,2018
Belgrave,389750,-37.9091021,145.3552913,2018
Dennis,389350,-37.77918729,145.0082416,2018
Cardinia Road,381850,-38.07129047,145.437791,2018
Moreland,380850,-37.75448484,144.961823,2018
Glenbervie,380800,-37.74720985,144.9209387,2018
Canterbury,374650,-37.82448518,145.0812242,2018
Seaford,374150,-38.10402104,145.1282304,2018
Upfield,366300,-37.66607779,144.9467399,2018
North Williamstown,364600,-37.85733348,144.8890695,2018
Darling,361300,-37.86895684,145.0629508,2018
Burwood,357550,-37.85156328,145.0805111,2018
Royal Park,357050,-37.78119293,144.9523013,2018
Croxton,356400,-37.764101,144.9970562,2018
Patterson,354250,-37.92514919,145.03547,2018
Spotswood,344850,-37.83063888,144.8859335,2018
Kooyong,344750,-37.83992894,145.0335516,2018
Coolaroo,335750,-37.66100253,144.9260556,2018
Batman,334900,-37.73352285,144.9628406,2018
Glen Iris,330100,-37.85930842,145.0582249,2018
Montmorency,322350,-37.71529624,145.1215157,2018
Gowrie,321300,-37.700678,144.9588743,2018
Merinda Park,306950,-38.07900048,145.2635114,2018
Edithvale,303950,-38.03805602,145.1085355,2018
Aircraft,303150,-37.86660595,144.7608094,2018
Altona,302850,-37.8671476,144.8296447,2018
Yarraman,302050,-37.97825454,145.1916003,2018
Ashburton,299050,-37.86196753,145.0813438,2018
Westgarth,298000,-37.7806207,144.9992332,2018
Alphington,296900,-37.77839363,145.0312549,2018
Kananook,295900,-38.12174203,145.1352953,2018
Macaulay,289550,-37.79426673,144.9361663,2018
Flemington Bridge,286650,-37.78813995,144.9393233,2018
Middle Footscray,279700,-37.8025047,144.8914721,2018
Heathmont,273900,-37.82832227,145.2445554,2018
Beaconsfield,273350,-38.05083135,145.3660737,2018
Upper Ferntree Gully,264650,-37.8926717,145.3075302,2018
Mont Albert,260850,-37.81942655,145.1055304,2018
East Camberwell,260350,-37.82589419,145.0681902,2018
Chatham,246350,-37.82429952,145.0886479,2018
Westona,240150,-37.86516348,144.8134936,2018
Aspendale,237900,-38.02722019,145.1021496,2018
Jacana,226800,-37.69513079,144.9158505,2018
Diggers Rest,221250,-37.62701651,144.7199224,2018
Heyington,218650,-37.83467244,145.0226353,2018
Fawkner,215100,-37.71462129,144.960545,2018
Riversdale,214700,-37.83150543,145.069646,2018
Hartwell,214350,-37.84398457,145.0755596,2018
Flemington Racecourse,212350,-37.78720192,144.9075887,2018
Bonbeach,205250,-38.06294478,145.1196804,2018
Williamstown Beach,202950,-37.86398189,144.8944837,2018
Merri,196550,-37.77784668,144.9929725,2018
Hawkstowe,193600,-37.622992,145.097396,2018
Middle Gorge,192700,-37.644062,145.09214,2018
Showgrounds,180000,-37.7835,144.915,2018
Diamond Creek,177250,-37.67329744,145.1585062,2018
Eaglemont,164500,-37.76358553,145.0539427,2018
Williamstown,161900,-37.86775292,144.9053233,2018
Rushall,158350,-37.78321711,144.9924071,2018
Upwey,157050,-37.90369097,145.3313334,2018
Darebin,150400,-37.77496341,145.038476,2018
Alamein,145700,-37.86832039,145.0796557,2018
Hurstbridge,123150,-37.63939817,145.1920169,2018
Officer,122900,-38.06614572,145.4109872,2018
Seaholme,106850,-37.86784231,144.8409577,2018
Willison,102600,-37.83571565,145.0702976,2018
Tecoma,75650,-37.90811849,145.3429946,2018
Wattle Glen,48050,-37.66396792,145.1816145,2018
Hastings,21900,-38.30565853,145.1859799,2018
Crib Point,17900,-38.36612338,145.2040433,2018
Bittern,14800,-38.33739032,145.1780265,2018
Somerville,13150,-38.22534196,145.1762449,2018
Leawarra,10250,-38.152034,145.139534,2018
Morradoo,5650,-38.35403334,145.1896025,2018
Tyabb,5600,-38.259815,145.1864007,2018
Stony Point,5400,-38.37423454,145.2218375,2018
Baxter,3400,-38.19404306,145.1605261,2018
Flinders Street,21503500,-37.81830513,144.9669643,2019
Southern Cross,14895400,-37.81793643,144.9514112,2019
Melbourne Central,10865600,-37.80993877,144.9625935,2019
Parliament,7646300,-37.81105406,144.9729109,2019
Footscray,4038750,-37.80108298,144.9031992,2019
Flagstaff,3883350,-37.81198131,144.9556538,2019
South Yarra,3151600,-37.83844935,144.9923422,2019
Richmond,2965500,-37.82407446,144.9901643,2019
Caulfield,2853200,-37.87745946,145.0425248,2019
Box Hill,2775200,-37.81922165,145.1214289,2019
Glenferrie,1949900,-37.82146682,145.0364388,2019
Dandenong,1819050,-37.98996792,145.2097254,2019
Sunshine,1753250,-37.78853633,144.8328782,2019
Camberwell,1496350,-37.82656714,145.0586972,2019
Ringwood,1475200,-37.81588648,145.2289685,2019
Williams Landing,1419700,-37.86986533,144.7474447,2019
Clayton,1388700,-37.92468255,145.1205344,2019
Glen Waverley,1305600,-37.87950407,145.1620575,2019
Watergardens,1300950,-37.70112872,144.7741805,2019
Essendon,1298700,-37.7560117,144.9161975,2019
Springvale,1295050,-37.94950878,145.1534518,2019
Oakleigh,1215300,-37.90037214,145.0883079,2019
Blackburn,1185100,-37.82007075,145.1500135,2019
North Melbourne,1183050,-37.80630984,144.9415102,2019
Huntingdale,1151750,-37.91101734,145.1023643,2019
Craigieburn,1126250,-37.6018169,144.9433203,2019
Hoppers Crossing,1079900,-37.88327618,144.7009549,2019
Werribee,1061600,-37.89937805,144.661118,2019
Newport,1037400,-37.84271757,144.8835999,2019
Glenroy,1037400,-37.70453633,144.9172204,2019
St Albans,963000,-37.74486131,144.8000505,2019
Prahran,951300,-37.84951848,144.9898599,2019
Mitcham,945050,-37.81800987,145.1919735,2019
Laverton,944750,-37.86369404,144.7726167,2019
Balaclava,923000,-37.86948773,144.9935121,2019
Frankston,896100,-38.14299007,145.1261623,2019
Nunawading,888900,-37.82060317,145.1748917,2019
Noble Park,868350,-37.96723193,145.1769357,2019
Carnegie,833000,-37.88624148,145.0585751,2019
Sandringham,813600,-37.95033018,145.0045614,2019
Broadmeadows,810850,-37.68304926,144.9196132,2019
Elsternwick,797150,-37.88475311,145.0008979,2019
Jolimont,787850,-37.81652702,144.9840983,2019
Yarraville,785800,-37.81585044,144.8899337,2019
Moonee Ponds,776300,-37.76570666,144.9191607,2019
Cranbourne,773050,-38.09953731,145.280599,2019
Berwick,754550,-38.04040829,145.3457261,2019
North Richmond,738350,-37.81039836,144.9925003,2019
Croydon,726050,-37.79543697,145.2805978,2019
Windsor,714100,-37.85605308,144.9920352,2019
Clifton Hill,709000,-37.78865745,144.9954167,2019
Syndal,708350,-37.87622963,145.1497805,2019
Epping,690350,-37.65238715,145.0301217,2019
Westall,676550,-37.93849121,145.1388326,2019
Newmarket,675600,-37.78732767,144.9289785,2019
Moorabbin,671250,-37.93435329,145.0367383,2019
Mount Waverley,662850,-37.87525526,145.1280557,2019
Glenhuntly,660200,-37.88971946,145.0422229,2019
Ginifer,659350,-37.75751083,144.8095734,2019
Preston,648650,-37.73867424,145.000522,2019
Heidelberg,647000,-37.75707293,145.0606855,2019
Burnley,633700,-37.82756022,145.0075551,2019
Keilor Plains,632200,-37.72927934,144.7937381,2019
Sunbury,628800,-37.57909097,144.7273188,2019
Murrumbeena,625600,-37.89019832,145.0673749,2019
Victoria Park,612450,-37.79915782,144.9944514,2019
Ivanhoe,604100,-37.76889674,145.0454252,2019
Thomastown,600300,-37.68033809,145.0142789,2019
Greensborough,588050,-37.70395408,145.1082474,2019
Narre Warren,587550,-38.02780932,145.3039694,2019
Malvern,586650,-37.8662533,145.0292939,2019
Auburn,584350,-37.82239831,145.0458437,2019
Watsonia,577000,-37.71095798,145.0837934,2019
Mooroolbark,568300,-37.78474883,145.3124024,2019
Surrey Hills,568250,-37.82414805,145.0987747,2019
Middle Brighton,567700,-37.91513441,144.9962991,2019
Lilydale,556700,-37.75551777,145.3477102,2019
South Morang,554250,-37.6491588,145.0670324,2019
North Brighton,554050,-37.90488721,145.002605,2019
Hawthorn,553450,-37.82182601,145.0228987,2019
Rosanna,552500,-37.7428786,145.0661403,2019
Mordialloc,550700,-38.00658295,145.0876594,2019
Pascoe Vale,545050,-37.73075596,144.9281956,2019
Thornbury,544200,-37.75505179,144.9985715,2019
Boronia,539350,-37.8604518,145.2843851,2019
Albion,537450,-37.77765281,144.8247036,2019
Ripponlea,531200,-37.87590643,144.9952366,2019
Mentone,528700,-37.9818654,145.0651659,2019
Ormond,528350,-37.90321167,145.0396134,2019
Mernda,527250,-37.602549,145.100883,2019
Reservoir,517550,-37.71688492,145.0069958,2019
West Footscray,515950,-37.8018087,144.8853248,2019
Bentleigh,515100,-37.91742457,145.0369951,2019
Fairfield,509000,-37.77917126,145.0169053,2019
Coburg,508700,-37.74234502,144.9633363,2019
East Richmond,506300,-37.82639995,144.9970657,2019
Hampton,501150,-37.93797681,145.0014706,2019
Hughesdale,501050,-37.89488129,145.0776351,2019
Ascot Vale,488800,-37.77530609,144.9218207,2019
Roxburgh Park,488650,-37.63823121,144.9354037,2019
Oak Park,479050,-37.71794973,144.9215188,2019
Lalor,477500,-37.66585075,145.0171932,2019
Heatherdale,471200,-37.81889537,145.2127872,2019
Macleod,469500,-37.7260123,145.0691433,2019
Pakenham,465800,-38.08061397,145.4863791,2019
Hallam,463500,-38.01774038,145.2697768,2019
Eltham,461400,-37.71354967,145.147822,2019
Collingwood,460950,-37.80452593,144.9937497,2019
Tooronga,456150,-37.84936553,145.0417337,2019
Cheltenham,454850,-37.96664989,145.0545579,2019
Bell,444100,-37.74556212,145.000155,2019
Sandown Park,443950,-37.95650457,145.1628259,2019
Tottenham,442450,-37.7992509,144.8629449,2019
Southland,441650,-37.958758,145.049124,2019
Holmesglen,439050,-37.87440222,145.090662,2019
West Richmond,436500,-37.81494896,144.9914228,2019
Kensington,424600,-37.79378022,144.9305244,2019
Gardenvale,421550,-37.89669508,145.0041684,2019
Bayswater,417400,-37.84173004,145.2681364,2019
Armadale,414400,-37.85645238,145.0193255,2019
Jordanville,402000,-37.87360339,145.1120902,2019
East Malvern,400500,-37.87693002,145.069393,2019
Regent,399650,-37.72840277,145.0027726,2019
Gardiner,389800,-37.85327908,145.0516547,2019
Seddon,379400,-37.80900514,144.8956716,2019
Ferntree Gully,375900,-37.88169799,145.2952513,2019
Toorak,370450,-37.85077381,145.0139086,2019
Ringwood East,369900,-37.81196804,145.2501909,2019
Hawksburn,369550,-37.84459087,145.0021421,2019
Anstey,357050,-37.76124203,144.960684,2019
Cardinia Road,355850,-38.07129047,145.437791,2019
Chelsea,352400,-38.05195538,145.1160413,2019
Lynbrook,352250,-38.05734118,145.2492751,2019
Brighton Beach,345550,-37.92648432,144.9891536,2019
Laburnum,340950,-37.82078023,145.1407027,2019
Ruthven,334100,-37.70789754,145.0095166,2019
Highett,328050,-37.948425,145.0418718,2019
Mckinnon,324500,-37.91030903,145.038299,2019
Strathmore,318600,-37.74359132,144.9273157,2019
Seaford,317100,-38.10402104,145.1282304,2019
Jewell,315750,-37.77498702,144.9587169,2019
Keon Park,313250,-37.69487012,145.0118838,2019
Northcote,308200,-37.76986537,144.9952772,2019
Dennis,305550,-37.77918729,145.0082416,2019
South Kensington,304750,-37.79953087,144.925469,2019
Brunswick,304300,-37.76772055,144.9595865,2019
Glenbervie,301950,-37.74720985,144.9209387,2019
Merinda Park,301600,-38.07900048,145.2635114,2019
Parkdale,299300,-37.99307882,145.0763268,2019
Belgrave,296550,-37.9091021,145.3552913,2019
Merlynston,296300,-37.72093389,144.9613135,2019
North Williamstown,289450,-37.85733348,144.8890695,2019
Canterbury,284700,-37.82448518,145.0812242,2019
Upfield,284700,-37.66607779,144.9467399,2019
Yarraman,283350,-37.97825454,145.1916003,2019
Croxton,281250,-37.764101,144.9970562,2019
Coolaroo,274750,-37.66100253,144.9260556,2019
Spotswood,273300,-37.83063888,144.8859335,2019
Moreland,272400,-37.75448484,144.961823,2019
Royal Park,269450,-37.78119293,144.9523013,2019
Burwood,268750,-37.85156328,145.0805111,2019
Darling,267750,-37.86895684,145.0629508,2019
Kooyong,263150,-37.83992894,145.0335516,2019
Altona,261900,-37.8671476,144.8296447,2019
Gowrie,258500,-37.700678,144.9588743,2019
Batman,257000,-37.73352285,144.9628406,2019
Montmorency,254100,-37.71529624,145.1215157,2019
Glen Iris,253400,-37.85930842,145.0582249,2019
Patterson,249700,-37.92514919,145.03547,2019
Macaulay,249450,-37.79426673,144.9361663,2019
Aircraft,248950,-37.86660595,144.7608094,2019
Alphington,239400,-37.77839363,145.0312549,2019
Ashburton,239200,-37.86196753,145.0813438,2019
Beaconsfield,234200,-38.05083135,145.3660737,2019
Westgarth,227000,-37.7806207,144.9992332,2019
Flemington Bridge,225150,-37.78813995,144.9393233,2019
Jacana,221650,-37.69513079,144.9158505,2019
Bonbeach,220450,-38.06294478,145.1196804,2019
Heathmont,214600,-37.82832227,145.2445554,2019
Westona,212000,-37.86516348,144.8134936,2019
Upper Ferntree Gully,210850,-37.8926717,145.3075302,2019
East Camberwell,201450,-37.82589419,145.0681902,2019
Mont Albert,200300,-37.81942655,145.1055304,2019
Chatham,196950,-37.82429952,145.0886479,2019
Edithvale,196750,-38.03805602,145.1085355,2019
Middle Footscray,191600,-37.8025047,144.8914721,2019
Kananook,186150,-38.12174203,145.1352953,2019
Diggers Rest,185050,-37.62701651,144.7199224,2019
Middle Gorge,184700,-37.644062,145.09214,2019
Hawkstowe,181900,-37.622992,145.097396,2019
Fawkner,165300,-37.71462129,144.960545,2019
Hartwell,165200,-37.84398457,145.0755596,2019
Heyington,163100,-37.83467244,145.0226353,2019
Williamstown Beach,162050,-37.86398189,144.8944837,2019
Riversdale,161750,-37.83150543,145.069646,2019
Aspendale,156650,-38.02722019,145.1021496,2019
Flemington Racecourse,154650,-37.78720192,144.9075887,2019
Merri,153450,-37.77784668,144.9929725,2019
Diamond Creek,151700,-37.67329744,145.1585062,2019
Showgrounds,143150,-37.7835,144.915,2019
Williamstown,132850,-37.86775292,144.9053233,2019
Officer,132100,-38.06614572,145.4109872,2019
Eaglemont,128000,-37.76358553,145.0539427,2019
Rushall,124600,-37.78321711,144.9924071,2019
Upwey,120700,-37.90369097,145.3313334,2019
Darebin,118850,-37.77496341,145.038476,2019
Alamein,113450,-37.86832039,145.0796557,2019
Hurstbridge,98200,-37.63939817,145.1920169,2019
Seaholme,89300,-37.86784231,144.8409577,2019
Willison,80300,-37.83571565,145.0702976,2019
Tecoma,59400,-37.90811849,145.3429946,2019
Carrum,41600,-38.07489292,145.1224183,2019
Wattle Glen,35850,-37.66396792,145.1816145,2019
Hastings,14000,-38.30565853,145.1859799,2019
Crib Point,10800,-38.36612338,145.2040433,2019
Bittern,9400,-38.33739032,145.1780265,2019
Somerville,8950,-38.22534196,145.1762449,2019
Leawarra,6750,-38.152034,145.139534,2019
Stony Point,4350,-38.37423454,145.2218375,2019
Tyabb,3700,-38.259815,145.1864007,2019
Morradoo,3400,-38.35403334,145.1896025,2019
Baxter,2000,-38.19404306,145.1605261,2019
Flinders Street,8528000,-37.81830513,144.9669643,2020
Southern Cross,4556450,-37.81793643,144.9514112,2020
Melbourne Central,4206700,-37.80993877,144.9625935,2020
Parliament,2213650,-37.81105406,144.9729109,2020
Footscray,2056000,-37.80108298,144.9031992,2020
South Yarra,1669900,-37.83844935,144.9923422,2020
Flagstaff,1378000,-37.81198131,144.9556538,2020
Caulfield,1370650,-37.87745946,145.0425248,2020
Richmond,1292650,-37.82407446,144.9901643,2020
Box Hill,1192700,-37.81922165,145.1214289,2020
Dandenong,1159900,-37.98996792,145.2097254,2020
Sunshine,896350,-37.78853633,144.8328782,2020
Ringwood,852050,-37.81588648,145.2289685,2020
Clayton,796650,-37.92468255,145.1205344,2020
Oakleigh,763050,-37.90037214,145.0883079,2020
Springvale,754300,-37.94950878,145.1534518,2020
Glenferrie,749450,-37.82146682,145.0364388,2020
North Melbourne,669700,-37.80630984,144.9415102,2020
Camberwell,641150,-37.82656714,145.0586972,2020
Laverton,596350,-37.86369404,144.7726167,2020
Essendon,579150,-37.7560117,144.9161975,2020
Frankston,576400,-38.14299007,145.1261623,2020
Craigieburn,560500,-37.6018169,144.9433203,2020
Huntingdale,556100,-37.91101734,145.1023643,2020
Blackburn,533050,-37.82007075,145.1500135,2020
Glen Waverley,530400,-37.87950407,145.1620575,2020
Watergardens,528500,-37.70112872,144.7741805,2020
Noble Park,513650,-37.96723193,145.1769357,2020
St Albans,500200,-37.74486131,144.8000505,2020
Newport,497600,-37.84271757,144.8835999,2020
Prahran,473550,-37.84951848,144.9898599,2020
Carnegie,460850,-37.88624148,145.0585751,2020
Epping,417650,-37.65238715,145.0301217,2020
Balaclava,416700,-37.86948773,144.9935121,2020
Williams Landing,411450,-37.86986533,144.7474447,2020
Cranbourne,407700,-38.09953731,145.280599,2020
Mitcham,401050,-37.81800987,145.1919735,2020
Glenroy,399100,-37.70453633,144.9172204,2020
Broadmeadows,395750,-37.68304926,144.9196132,2020
Nunawading,390550,-37.82060317,145.1748917,2020
Elsternwick,385100,-37.88475311,145.0008979,2020
Yarraville,368300,-37.81585044,144.8899337,2020
Mentone,362550,-37.9818654,145.0651659,2020
Moonee Ponds,362450,-37.76570666,144.9191607,2020
Berwick,361200,-38.04040829,145.3457261,2020
Jolimont,358650,-37.81652702,144.9840983,2020
Werribee,351350,-37.89937805,144.661118,2020
Sandringham,350400,-37.95033018,145.0045614,2020
Hoppers Crossing,349850,-37.88327618,144.7009549,2020
Reservoir,349200,-37.71688492,145.0069958,2020
Clifton Hill,347000,-37.78865745,144.9954167,2020
Heidelberg,343900,-37.75707293,145.0606855,2020
Thomastown,343750,-37.68033809,145.0142789,2020
Malvern,340300,-37.8662533,145.0292939,2020
North Richmond,339950,-37.81039836,144.9925003,2020
Mordialloc,339550,-38.00658295,145.0876594,2020
Westall,339550,-37.93849121,145.1388326,2020
Glenhuntly,335400,-37.88971946,145.0422229,2020
Windsor,334200,-37.85605308,144.9920352,2020
Mernda,327900,-37.602549,145.100883,2020
Ginifer,320700,-37.75751083,144.8095734,2020
Murrumbeena,318600,-37.89019832,145.0673749,2020
Preston,317300,-37.73867424,145.000522,2020
Croydon,311100,-37.79543697,145.2805978,2020
Narre Warren,309300,-38.02780932,145.3039694,2020
Burnley,303500,-37.82756022,145.0075551,2020
Newmarket,302600,-37.78732767,144.9289785,2020
Sunbury,301950,-37.57909097,144.7273188,2020
Moorabbin,300700,-37.93435329,145.0367383,2020
Bentleigh,299650,-37.91742457,145.0369951,2020
South Morang,291000,-37.6491588,145.0670324,2020
Mount Waverley,280350,-37.87525526,145.1280557,2020
Pakenham,280300,-38.08061397,145.4863791,2020
Auburn,278650,-37.82239831,145.0458437,2020
Victoria Park,277400,-37.79915782,144.9944514,2020
Southland,277000,-37.958758,145.049124,2020
Ivanhoe,273050,-37.76889674,145.0454252,2020
West Richmond,265250,-37.81494896,144.9914228,2020
Ormond,265150,-37.90321167,145.0396134,2020
Keilor Plains,262450,-37.72927934,144.7937381,2020
Syndal,261400,-37.87622963,145.1497805,2020
Greensborough,254900,-37.70395408,145.1082474,2020
Hughesdale,250500,-37.89488129,145.0776351,2020
North Brighton,246150,-37.90488721,145.002605,2020
Surrey Hills,245900,-37.82414805,145.0987747,2020
Lilydale,244300,-37.75551777,145.3477102,2020
Ripponlea,244200,-37.87590643,144.9952366,2020
Hawthorn,243600,-37.82182601,145.0228987,2020
Lalor,243550,-37.66585075,145.0171932,2020
Boronia,243500,-37.8604518,145.2843851,2020
Middle Brighton,243050,-37.91513441,144.9962991,2020
Watsonia,242150,-37.71095798,145.0837934,2020
Roxburgh Park,240050,-37.63823121,144.9354037,2020
Pascoe Vale,239250,-37.73075596,144.9281956,2020
Rosanna,239200,-37.7428786,145.0661403,2020
Cheltenham,233800,-37.96664989,145.0545579,2020
Fairfield,233400,-37.77917126,145.0169053,2020
Hampton,229200,-37.93797681,145.0014706,2020
Armadale,227300,-37.85645238,145.0193255,2020
Collingwood,221100,-37.80452593,144.9937497,2020
Hallam,219250,-38.01774038,145.2697768,2020
Oak Park,218300,-37.71794973,144.9215188,2020
Bayswater,213500,-37.84173004,145.2681364,2020
West Footscray,213500,-37.8018087,144.8853248,2020
Kensington,211900,-37.79378022,144.9305244,2020
Eltham,206900,-37.71354967,145.147822,2020
Albion,204500,-37.77765281,144.8247036,2020
Macleod,204450,-37.7260123,145.0691433,2020
Ascot Vale,202200,-37.77530609,144.9218207,2020
Hawksburn,201400,-37.84459087,145.0021421,2020
East Richmond,198600,-37.82639995,144.9970657,2020
